Ilçe,Evcil Hayvan_Var,Evcil Hayvan_Yok
 ADALAR,79,283
 ARNAVUTKÖY,81,749
 ATASEHIR,268,1150
 AVCILAR,28,1377
 BAGCILAR,13,2038
 BAHÇELIEVLER,49,1869
 BAKIRKÖY,217,606
 BASAKSEHIR,132,1270
 BAYRAMPASA,152,712
 BESIKTAS,151,613
 BEYKOZ,116,673
 BEYLIKDÜZÜ,100,1077
 BEYOGLU,112,689
 BÜYÜKÇEKMECE,78,750
 ÇATALCA,46,326
 ÇEKMEKÖY,145,702
 ESENLER,185,1105
 ESENYURT,167,2776
 EYÜPSULTAN,191,1153
 FATIH,145,1278
 GAZIOSMANPASA,241,1276
 GÜNGÖREN,133,759
 KADIKÖY,321,1740
 KAGITHANE,278,1197
 KARTAL,330,1256
 KÜÇÜKÇEKMECE,117,2468
 MALTEPE,424,1355
 PENDIK,352,1891
 SANCAKTEPE,118,1190
 SARIYER,183,999
 SILE,141,233
 SILIVRI,75,543
 SISLI,200,921
 SULTANBEYLI,85,785
 SULTANGAZI,165,1268
 TUZLA,152,717
 ÜMRANIYE,245,1967
 ÜSKÜDAR,382,1401
 ZEYTINBURNU,103,727
