Ilçe,Ortalama Hanehalki Büyüklügü 2023
Adalar,2.31
Arnavutköy,3.75
Atasehir,2.91
Avcilar,3.2
Bagcilar,3.65
Bahçelievler,3.21
Bakirköy,2.73
Basaksehir,3.58
Bayrampasa,3.15
Besiktas,2.29
Beykoz,3.07
Beylikdüzü,3.19
Beyoglu,2.85
Büyükçekmece,3.08
Çatalca,2.65
Çekmeköy,3.17
Esenler,3.53
Esenyurt,3.38
Eyüpsultan,3.05
Fatih,2.8
Gaziosmanpasa,3.31
Güngören,3.2
Kadiköy,2.28
Kagithane,2.98
Kartal,2.93
Küçükçekmece,3.22
Maltepe,2.78
Pendik,3.18
Sancaktepe,3.47
Sariyer,2.85
Sile,2.46
Silivri,2.89
Sisli,2.43
Sultanbeyli,3.87
Sultangazi,3.8
Tuzla,3.1
Ümraniye,3.15
Üsküdar,2.91
Zeytinburnu,3.47
