Ilçe,Sosyal Yardim Alma_Evet,Sosyal Yardim Alma_Hayir
 ADALAR,9,353
 ARNAVUTKÖY,470,360
 ATASEHIR,107,1311
 AVCILAR,401,1004
 BAGCILAR,1394,657
 BAHÇELIEVLER,679,1239
 BAKIRKÖY,43,780
 BASAKSEHIR,218,1184
 BAYRAMPASA,35,829
 BESIKTAS,12,752
 BEYKOZ,83,706
 BEYLIKDÜZÜ,163,1014
 BEYOGLU,51,750
 BÜYÜKÇEKMECE,149,679
 ÇATALCA,19,353
 ÇEKMEKÖY,19,828
 ESENLER,119,1171
 ESENYURT,776,2167
 EYÜPSULTAN,62,1282
 FATIH,142,1281
 GAZIOSMANPASA,79,1438
 GÜNGÖREN,50,842
 KADIKÖY,34,2027
 KAGITHANE,66,1409
 KARTAL,47,1539
 KÜÇÜKÇEKMECE,301,2284
 MALTEPE,70,1709
 PENDIK,73,2170
 SANCAKTEPE,108,1200
 SARIYER,53,1129
 SILE,5,369
 SILIVRI,95,523
 SISLI,38,1082
 SULTANBEYLI,144,726
 SULTANGAZI,100,1333
 TUZLA,23,846
 ÜMRANIYE,148,2064
 ÜSKÜDAR,113,1670
 ZEYTINBURNU,71,759
