Ilçe,Tatil_Yapmayanlar,Tatil_Yapanlar,Tatil_Yapmayanlar_Yuzdelik,Tatil_Yapanlar_Yuzdelik,
 ADALAR,79,8,0.908045977,0.091954023,87
 ARNAVUTKÖY,260,24,0.915492958,0.084507042,284
 ATASEHIR,218,115,0.654654655,0.345345345,333
 AVCILAR,300,43,0.874635569,0.125364431,343
 BAGCILAR,505,46,0.916515426,0.083484574,551
 BAHÇELIEVLER,408,27,0.937931034,0.062068966,435
 BAKIRKÖY,81,742,0.098420413,0.901579587,823
 BASAKSEHIR,254,67,0.791277259,0.208722741,321
 BAYRAMPASA,134,730,0.155092593,0.844907407,864
 BESIKTAS,105,659,0.137434555,0.862565445,764
 BEYKOZ,146,45,0.764397906,0.235602094,191
 BEYLIKDÜZÜ,214,46,0.823076923,0.176923077,260
 BEYOGLU,99,702,0.123595506,0.876404494,801
 BÜYÜKÇEKMECE,173,45,0.793577982,0.206422018,218
 ÇATALCA,76,12,0.863636364,0.136363636,88
 ÇEKMEKÖY,115,89,0.56372549,0.43627451,204
 ESENLER,206,1084,0.159689922,0.840310078,1290
 ESENYURT,614,85,0.878397711,0.121602289,699
 EYÜPSULTAN,184,1160,0.136904762,0.863095238,1344
 FATIH,195,1228,0.137034434,0.862965566,1423
 GAZIOSMANPASA,228,1289,0.150296638,0.849703362,1517
 GÜNGÖREN,136,756,0.152466368,0.847533632,892
 KADIKÖY,288,221,0.565815324,0.434184676,509
 KAGITHANE,202,1273,0.136949153,0.863050847,1475
 KARTAL,244,141,0.633766234,0.366233766,385
 KÜÇÜKÇEKMECE,612,76,0.889534884,0.110465116,688
 MALTEPE,258,178,0.591743119,0.408256881,436
 PENDIK,391,152,0.720073665,0.279926335,543
 SANCAKTEPE,248,61,0.802588997,0.197411003,309
 SARIYER,194,988,0.164128596,0.835871404,1182
 SILIVRI,123,40,0.754601227,0.245398773,163
 SULTANBEYLI,139,54,0.720207254,0.279792746,193
 SULTANGAZI,234,1200,0.163179916,0.836820084,1434
 SILE,79,12,0.868131868,0.131868132,91
 SISLI,132,989,0.117752007,0.882247993,1121
 TUZLA,163,49,0.768867925,0.231132075,212
 ÜMRANIYE,385,110,0.777777778,0.222222222,495
 ÜSKÜDAR,238,170,0.583333333,0.416666667,408
 ZEYTINBURNU,136,694,0.163855422,0.836144578,830
