Ilçe, Ev_Sahibi, Ev_Sahibi_Degil, Ev_Sahibi_Yuzdelik, Ev_Sahibi_Degil_Yuzdelik,Column1
 ADALAR,186,176,0.513812155,0.486187845,362
 ARNAVUTKÖY,358,472,0.431325301,0.568674699,830
 ATASEHIR,621,797,0.437940762,0.562059238,1418
 AVCILAR,788,617,0.560854093,0.439145907,1405
 BAGCILAR,986,1065,0.480741102,0.519258898,2051
 BAHÇELIEVLER,1044,874,0.544316997,0.455683003,1918
 BAKIRKÖY,472,351,0.573511543,0.426488457,823
 BASAKSEHIR,747,655,0.532810271,0.467189729,1402
 BAYRAMPASA,506,358,0.585648148,0.414351852,864
 BESIKTAS,433,331,0.566753927,0.433246073,764
 BEYKOZ,401,388,0.508238276,0.491761724,789
 BEYLIKDÜZÜ,552,625,0.468988955,0.531011045,1177
 BEYOGLU,317,484,0.395755306,0.604244694,801
 BÜYÜKÇEKMECE,561,267,0.677536232,0.322463768,828
 ÇATALCA,291,81,0.782258065,0.217741935,372
 ÇEKMEKÖY,505,342,0.59622196,0.40377804,847
 ESENLER,677,613,0.524806202,0.475193798,1290
 ESENYURT,1190,1753,0.404349303,0.595650697,2943
 EYÜPSULTAN,808,536,0.601190476,0.398809524,1344
 FATIH,592,831,0.416022488,0.583977512,1423
 GAZIOSMANPASA,942,575,0.620962426,0.379037574,1517
 GÜNGÖREN,482,410,0.540358744,0.459641256,892
 KADIKÖY,1212,849,0.588064047,0.411935953,2061
 KAGITHANE,730,745,0.494915254,0.505084746,1475
 KARTAL,815,771,0.513871375,0.486128625,1586
 KÜÇÜKÇEKMECE,1347,1238,0.521083172,0.478916828,2585
 MALTEPE,1011,768,0.568296796,0.431703204,1779
 PENDIK,1127,1116,0.502452073,0.497547927,2243
 SANCAKTEPE,542,766,0.414373089,0.585626911,1308
 SARIYER,677,505,0.572758037,0.427241963,1182
 SILE,211,163,0.564171123,0.435828877,374
 SILIVRI,431,187,0.697411003,0.302588997,618
 SISLI,460,661,0.410347904,0.589652096,1121
 SULTANBEYLI,363,507,0.417241379,0.582758621,870
 SULTANGAZI,800,634,0.557880056,0.442119944,1434
 TUZLA,379,490,0.436133487,0.563866513,869
 ÜMRANIYE,1076,1136,0.486437613,0.513562387,2212
 ÜSKÜDAR,944,839,0.529444756,0.470555244,1783
 ZEYTINBURNU,410,420,0.493975904,0.506024096,830
