Ilçe,EvselAtik,Ilce_Nufus2023,EvselAtik_kisibasi
Adalar,11109.22,16325,0.680503522
Arnavutköy,113185.25,336062,0.336798716
Atasehir,171944.24,416529,0.412802566
Avcilar,147951.6,437221,0.338390882
Bagcilar,180695.43,719071,0.251290109
Bahçelievler,254343.91,567848,0.447908437
Bakirköy,102998.96,220476,0.467166313
Basaksehir,218726.45,509915,0.428946883
Bayrampasa,117938.46,268850,0.438677553
Besiktas,109312.53,169022,0.646735514
Beykoz,119292.81,245647,0.485626977
Beylikdüzü,137838.23,409347,0.336727104
Beyoglu,131161.13,218589,0.600035363
Büyükçekmece,110333.78,276572,0.398933298
Çatalca,36153.96,80007,0.45188496
Çekmeköy,109574.31,299806,0.365484046
Esenler,127598.37,427901,0.298196008
Esenyurt,395756.48,978007,0.404656081
Eyüp,151077.92,420194,0.359543259
Fatih,211391.39,356025,0.593754343
Gaziosmanpasa,150487.93,483830,0.311034723
Güngören,96681.53,269944,0.358154025
Kadiköy,205873.52,467919,0.439976834
Kagithane,155080.71,445672,0.347970503
Kartal,174568.08,475042,0.367479254
Küçükçekmece,285493.24,792030,0.360457609
Maltepe,174503.22,523137,0.333570785
Pendik,245521.8,743774,0.330102692
Sancaktepe,171829.75,492804,0.348677669
Sariyer,164897.549,344250,0.479005226
Sile,36984.56,48537,0.761986938
Silivri,94353.89,221723,0.4255485
Sisli,146241.198,264736,0.552403897
Sultanbeyli,127679.38,360702,0.353974694
Sultangazi,172072.53,532802,0.32295774
Tuzla,127095.35,293604,0.432880172
Ümraniye,268522.48,723760,0.37101039
Üsküdar,222617.01,517348,0.430304186
Zeytinburnu,114827.24,280896,0.40878916
