Ilçe,Ilçe_Ait hissetmiyorum,Ilçe_Ne ait hissediyorum ne hissetmiyorum,Ilçe_Ait hissediyorum,Yuzdelik_Ilçe_Ait hissetmiyorum,Yuzdelik_Ilçe_Ne ait hissediyorum ne hissetmiyorum,Yuzdelik_Ilçe_Ait hissediyorum,
 ADALAR,3,7,80,0.033333333,0.077777778,0.888888889,90
 ARNAVUTKÖY,52,34,113,0.261306533,0.170854271,0.567839196,199
 ATASEHIR,53,48,242,0.15451895,0.139941691,0.705539359,343
 AVCILAR,26,77,215,0.081761006,0.242138365,0.676100629,318
 BAGCILAR,38,124,296,0.082969432,0.270742358,0.64628821,458
 BAHÇELIEVLER,79,122,240,0.179138322,0.276643991,0.544217687,441
 BAKIRKÖY,17,13,171,0.084577114,0.064676617,0.850746269,201
 BASAKSEHIR,84,56,173,0.268370607,0.178913738,0.552715655,313
 BAYRAMPASA,16,24,173,0.075117371,0.112676056,0.812206573,213
 BESIKTAS,7,48,132,0.037433155,0.256684492,0.705882353,187
 BEYKOZ,8,2,183,0.041450777,0.010362694,0.948186528,193
 BEYLIKDÜZÜ,12,71,201,0.042253521,0.25,0.707746479,284
 BEYOGLU,14,77,97,0.074468085,0.409574468,0.515957447,188
 BÜYÜKÇEKMECE,15,22,167,0.073529412,0.107843137,0.818627451,204
 ÇATALCA,6,9,85,0.06,0.09,0.85,100
 ÇEKMEKÖY,7,24,175,0.033980583,0.116504854,0.849514563,206
 ESENLER,57,53,202,0.182692308,0.169871795,0.647435897,312
 ESENYURT,85,128,448,0.128593041,0.193645991,0.677760968,661
 EYÜPSULTAN,26,67,243,0.077380952,0.199404762,0.723214286,336
 FATIH,16,101,227,0.046511628,0.293604651,0.659883721,344
 GAZIOSMANPASA,50,50,268,0.135869565,0.135869565,0.72826087,368
 GÜNGÖREN,34,50,137,0.153846154,0.226244344,0.619909502,221
 KADIKÖY,23,48,447,0.044401544,0.092664093,0.862934363,518
 KAGITHANE,38,69,256,0.104683196,0.190082645,0.70523416,363
 KARTAL,32,69,293,0.081218274,0.175126904,0.743654822,394
 KÜÇÜKÇEKMECE,133,196,280,0.218390805,0.32183908,0.459770115,609
 MALTEPE,25,90,327,0.056561086,0.20361991,0.739819005,442
 PENDIK,59,75,430,0.104609929,0.132978723,0.762411348,564
 SANCAKTEPE,42,42,219,0.138613861,0.138613861,0.722772277,303
 SARIYER,7,47,233,0.024390244,0.163763066,0.81184669,287
 SILIVRI,15,22,117,0.097402597,0.142857143,0.75974026,154
 SULTANBEYLI,27,14,159,0.135,0.07,0.795,200
 SULTANGAZI,49,45,240,0.146706587,0.134730539,0.718562874,334
 SILE,1,7,84,0.010869565,0.076086957,0.913043478,92
 SISLI,30,94,153,0.108303249,0.339350181,0.55234657,277
 TUZLA,25,52,134,0.118483412,0.246445498,0.63507109,211
 ÜMRANIYE,30,82,388,0.06,0.164,0.776,500
 ÜSKÜDAR,40,65,302,0.098280098,0.15970516,0.742014742,407
 ZEYTINBURNU,15,35,155,0.073170732,0.170731707,0.756097561,205
